attr1,attr2,attr3,attr4,class
0.93041,0.9604,0.56233,0.11575,B
0.37779,0.57387,0.04938,0.99358,B
0.62174,0.35686,0.39272,0.92952,B
0.35695,0.33231,0.59119,0.57333,A
0.34866,0.85162,0.85618,0.11908,A
0.93052,0.3255,0.90786,0.31046,B
0.12521,0.96425,0.96266,0.50035,B
0.26087,0.01916,0.58126,0.06977,B
0.56981,0.09789,0.9331,0.28968,B
0.78267,0.91372,0.70604,0.92529,A
0.29008,0.85062,0.51552,0.68062,A
0.55083,0.80207,0.23043,0.02946,A
0.90713,0.25621,0.46022,0.59121,A
0.04138,0.07949,0.80771,0.88159,A
0.76462,0.26871,0.11572,0.45951,B
0.80068,0.59574,0.08802,0.43061,B
0.96682,0.31547,0.1514,0.58846,A
0.17606,0.07418,0.70733,0.62863,A
0.01842,0.44656,0.52857,0.12966,A
0.15965,0.34212,0.37165,0.31689,A
0.06554,0.27986,0.6943,0.60927,B
0.39422,0.623,0.29041,0.13415,A
0.73497,0.38433,0.49764,0.77406,B
0.88253,0.11791,0.68635,0.03002,B
0.16842,0.08661,0.59612,0.53135,A
0.31512,0.25236,0.86371,0.06095,B
0.18768,0.04668,0.37146,0.99101,B
0.7841,0.44837,0.80888,0.49261,B
0.38591,0.61556,0.51704,0.13592,A
0.44151,0.60882,0.12083,0.14309,A
0.99467,0.2488,0.66035,0.71347,A
0.81471,0.28204,0.38287,0.73225,A
0.24352,0.93407,0.42108,0.75353,B
0.57299,0.07514,0.57428,0.9036,B
0.37146,0.12808,0.80123,0.84463,B
0.06046,0.39185,0.00715,0.6842,A
0.5182,0.48257,0.52365,0.30103,A
0.86111,0.13278,0.20645,0.78064,B
0.98965,0.47738,0.26139,0.9678,A
0.23027,0.19206,0.23044,0.17081,B
0.53448,0.52111,0.92905,0.98122,A
0.15419,0.7909,0.24104,0.5753,A
0.18838,0.20493,0.82068,0.25553,B
0.90471,0.06816,0.76569,0.50466,B
0.55742,0.01958,0.31915,0.96803,B
0.37671,0.94701,0.15088,0.11047,A
0.3252,0.98646,0.12067,0.04773,B
0.66833,0.10155,0.06284,0.89471,B
0.78303,0.38409,0.58454,0.40116,B
0.61478,0.71946,0.30233,0.65931,A
0.5096,0.65599,0.99903,0.26397,A
0.35611,0.94936,0.30268,0.00691,B
0.92163,0.03952,0.72067,0.2299,A
0.22147,0.40151,0.819,0.50912,B
0.38547,0.08005,0.05157,0.84046,B
0.24656,0.8822,0.20663,0.52101,B
0.75338,0.39305,0.72959,0.16939,A
0.91049,0.8201,0.61329,0.5132,A
0.34655,0.40603,0.70056,0.80307,B
0.63324,0.67929,0.01902,0.80672,B
0.15596,0.81666,0.59436,0.37316,A
0.2684,0.85391,0.72301,0.06208,A
0.15879,0.29793,0.20291,0.61444,B
0.0189,0.36355,0.72082,0.53096,A
0.70315,0.19072,0.04847,0.44838,B
0.71349,0.87462,0.11376,0.22301,B
0.34468,0.07906,0.78265,0.85026,A
0.78649,0.75424,0.89461,0.17375,B
0.96446,0.10214,0.25552,0.70485,B
0.52185,0.5423,0.14316,0.15713,A
0.2984,0.8131,0.48047,0.86074,A
0.83107,0.44703,0.8782,0.10725,A
0.09677,0.04531,0.61347,0.65863,A
0.84,0.08611,0.07251,0.61123,B
